LocationID,SpeciesName,SpeciesLatinName,ObservationYear,ObservationDay,ObservationDate,Season,EventName,Easting,Northing,loccounty,locregion
232083,Lesser celandine,Ranunculus ficaria,1950,58,27/02/1950,S,FIrst flowering,471000,173000,Berkshire,
231838,Ivy,Hedera helix,1950,263,20/09/1950,A,FIrst flowering,328000,118000,Somerset,
231838,Great Bindweed,Calystegia silvatica,1950,178,27/06/1950,S,FIrst flowering,328000,118000,Somerset,
231838,Colt's-foot,Tussilago farfara,1950,69,10/03/1950,S,FIrst flowering,328000,118000,Somerset,
231838,Autumn Crocus,Crocus spp.,1950,248,5/09/1950,A,FIrst flowering,328000,118000,Somerset,
233257,Hazel,Corylus avellana,1950,43,12/02/1950,S,FIrst flowering,545000,165000,London,London
231648,Hazel,Corylus avellana,1950,6,6/01/1950,S,FIrst flowering,433000,279000,West Midlands,West Midlands
231648,Lesser celandine,Ranunculus ficaria,1950,56,25/02/1950,S,FIrst flowering,433000,279000,West Midlands,West Midlands
232351,Hazel,Corylus avellana,1950,47,16/02/1950,S,FIrst flowering,415000,92000,Dorset,South West
231648,Garlic mustard,Alliaria petiolata,1950,15,15/01/1950,S,FIrst flowering,433000,279000,West Midlands,West Midlands
231838,Dog rose,Rosa canina,1950,150,30/05/1950,S,FIrst flowering,328000,118000,Somerset,
231809,Hawthorn,Crataegus monogyna,1950,132,12/05/1950,S,FIrst flowering,281000,176000,Mid Glamorgan     ,Wales
233323,Ivy,Hedera helix,1950,269,26/09/1950,A,FIrst flowering,559000,156000,Kent,
232351,Lesser celandine,Ranunculus ficaria,1950,47,16/02/1950,S,FIrst flowering,415000,92000,Dorset,South West
233323,Black Knapweed,Centaurea nigra,1950,178,27/06/1950,S,FIrst flowering,559000,156000,Kent,
233323,Great Bindweed,Calystegia silvatica,1950,175,24/06/1950,S,FIrst flowering,559000,156000,Kent,
230406,Hazel,Corylus avellana,1950,57,26/02/1950,S,FIrst flowering,423000,568000,Northumberland,
233323,Dog's Mercury,Mercurialis perennis,1950,34,3/02/1950,S,FIrst flowering,559000,156000,Kent,
233323,Winter Aconite,Eranthis hyemalis,1950,16,16/01/1950,S,FIrst flowering,559000,156000,Kent,
233402,Bluebell,Hyacinthoides non-scripta,1950,106,16/04/1950,S,FIrst flowering,579000,158000,Kent,
233323,Bee Orchid,Ophrys apifera,1950,169,18/06/1950,S,FIrst flowering,559000,156000,Kent,
233323,Dog rose,Rosa canina,1950,162,11/06/1950,S,FIrst flowering,559000,156000,Kent,
233323,Snowdrop,Galanthus nivalis,1950,34,3/02/1950,S,FIrst flowering,559000,156000,Kent,
232139,Oxeye daisy,Leucanthemum vulgare,1950,134,14/05/1950,S,FIrst flowering,486000,150000,Hampshire,
235391,Dog rose,Rosa canina,1950,167,16/06/1950,S,FIrst flowering,399800,303100,West Midlands     ,West Midlands     
235391,Colt's-foot,Tussilago farfara,1950,64,5/03/1950,S,FIrst flowering,399800,303100,West Midlands     ,West Midlands     
232169,Colt's-foot,Tussilago farfara,1950,35,4/02/1950,S,FIrst flowering,492000,168000,Berkshire,
233323,Harebell,Campanula rotundifolia,1950,188,7/07/1950,S,FIrst flowering,559000,156000,Kent,
232383,Primrose,Primula vulgaris,1950,51,20/02/1950,S,FIrst flowering,449000,88000,Isle of Wight,South East
233323,Hazel,Corylus avellana,1950,41,10/02/1950,S,FIrst flowering,559000,156000,Kent,
233323,Primrose,Primula vulgaris,1950,4,4/01/1950,S,FIrst flowering,559000,156000,Kent,
232709,Marsh Marigold,Caltha palustris,1950,88,29/03/1950,S,FIrst flowering,563000,255000,Cambridgeshire,
232709,Wood anemone,Anemone nemorosa,1950,77,18/03/1950,S,FIrst flowering,563000,255000,Cambridgeshire,
232709,Bluebell,Hyacinthoides non-scripta,1950,98,8/04/1950,S,FIrst flowering,563000,255000,Cambridgeshire,
232357,Snowdrop,Galanthus nivalis,1950,51,20/02/1950,S,FIrst flowering,423000,95000,Hampshire,
232709,Bee Orchid,Ophrys apifera,1950,168,17/06/1950,S,FIrst flowering,563000,255000,Cambridgeshire,
233411,Bee Orchid,Ophrys apifera,1950,153,2/06/1950,S,FIrst flowering,581000,165000,Kent,
232383,Dog rose,Rosa canina,1950,157,6/06/1950,S,FIrst flowering,449000,88000,Isle of Wight,South East
231565,Primrose,Primula vulgaris,1950,56,25/02/1950,S,FIrst flowering,400000,227000,Gloucestershire,
232357,Primrose,Primula vulgaris,1950,51,20/02/1950,S,FIrst flowering,423000,95000,Hampshire,
232387,Hazel,Corylus avellana,1950,337,3/12/1950,S,FIrst flowering,454000,92000,Isle of Wight,South East
232001,Bee Orchid,Ophrys apifera,1950,164,13/06/1950,S,FIrst flowering,441000,112000,Hampshire,
232001,Harebell,Campanula rotundifolia,1950,175,24/06/1950,S,FIrst flowering,441000,112000,Hampshire,
230553,Hazel,Corylus avellana,1950,2,2/01/1950,S,FIrst flowering,307000,499000,Cumbria,
230553,Hazel,Corylus avellana,1950,35,4/02/1950,S,FIrst flowering,307000,499000,Cumbria,
230553,Primrose,Primula vulgaris,1950,15,15/01/1950,S,FIrst flowering,307000,499000,Cumbria,
233411,Hazel,Corylus avellana,1950,12,12/01/1950,S,FIrst flowering,581000,165000,Kent,
232001,Bluebell,Hyacinthoides non-scripta,1950,99,9/04/1950,S,FIrst flowering,441000,112000,Hampshire,
232001,Wood anemone,Anemone nemorosa,1950,75,16/03/1950,S,FIrst flowering,441000,112000,Hampshire,
232387,Harebell,Campanula rotundifolia,1950,204,23/07/1950,S,FIrst flowering,454000,92000,Isle of Wight,South East
230553,Dog's Mercury,Mercurialis perennis,1950,35,4/02/1950,S,FIrst flowering,307000,499000,Cumbria,
230553,Lesser celandine,Ranunculus ficaria,1950,46,15/02/1950,S,FIrst flowering,307000,499000,Cumbria,
230512,Colt's-foot,Tussilago farfara,1950,45,14/02/1950,S,FIrst flowering,326000,320000,Powys,Wales
233329,Hazel,Corylus avellana,1950,7,7/01/1950,S,FIrst flowering,560000,157000,Kent,
233329,Winter Aconite,Eranthis hyemalis,1950,30,30/01/1950,S,FIrst flowering,560000,157000,Kent,
233329,Black Knapweed,Centaurea nigra,1950,157,6/06/1950,S,FIrst flowering,560000,157000,Kent,
233329,Lesser celandine,Ranunculus ficaria,1950,57,26/02/1950,S,FIrst flowering,560000,157000,Kent,
233329,Colt's-foot,Tussilago farfara,1950,53,22/02/1950,S,FIrst flowering,560000,157000,Kent,
230553,Snowdrop,Galanthus nivalis,1950,10,10/01/1950,S,FIrst flowering,307000,499000,Cumbria,
230262,Lesser celandine,Ranunculus ficaria,1950,96,6/04/1950,S,FIrst flowering,403000,615000,Northumberland,
233329,Snowdrop,Galanthus nivalis,1950,6,6/01/1950,S,FIrst flowering,560000,157000,Kent,
230382,Colt's-foot,Tussilago farfara,1950,52,21/02/1950,S,FIrst flowering,409000,563000,Northumberland,
232357,Daffodil,Narcissus pseudonarcissus,1950,51,20/02/1950,S,FIrst flowering,423000,95000,Hampshire,
230553,Butterbur,Petasites hybridus,1950,14,14/01/1950,S,FIrst flowering,307000,499000,Cumbria,
232387,Butterbur,Petasites hybridus,1950,337,3/12/1950,S,FIrst flowering,454000,92000,Isle of Wight,South East
230512,Marsh Marigold,Caltha palustris,1950,11,11/01/1950,S,FIrst flowering,326000,320000,Powys,Wales
233329,Dog rose,Rosa canina,1950,155,4/06/1950,S,FIrst flowering,560000,157000,Kent,
232806,Almond,Prunus dulcis,1950,69,10/03/1950,S,FIrst flowering,616000,244000,Suffolk,
235391,Lesser celandine,Ranunculus ficaria,1950,84,25/03/1950,S,FIrst flowering,399800,303100,West Midlands     ,West Midlands     
233423,Primrose,Primula vulgaris,1950,54,23/02/1950,S,FIrst flowering,586000,167000,Kent,
232706,Lesser celandine,Ranunculus ficaria,1950,71,12/03/1950,S,FIrst flowering,562000,254000,Cambridgeshire,
233329,Primrose,Primula vulgaris,1950,52,21/02/1950,S,FIrst flowering,560000,157000,Kent,
233329,Oxeye daisy,Leucanthemum vulgare,1950,136,16/05/1950,S,FIrst flowering,560000,157000,Kent,
233329,Wood anemone,Anemone nemorosa,1950,68,9/03/1950,S,FIrst flowering,560000,157000,Kent,
232806,Sycamore,Acer pseudoplatanus,1950,129,9/05/1950,S,FIrst flowering,616000,244000,Suffolk,
232806,Honeysuckle,Lonicera periclymenum,1950,174,23/06/1950,S,FIrst flowering,616000,244000,Suffolk,
232772,Common Field Speedwell,Veronica officinalis,1950,91,1/04/1950,S,FIrst flowering,604000,245000,Suffolk,
232922,Oxeye daisy,Leucanthemum vulgare,1950,140,20/05/1950,S,FIrst flowering,505000,151000,Surrey,
232922,Wood anemone,Anemone nemorosa,1950,90,31/03/1950,S,FIrst flowering,505000,151000,Surrey,
232358,Harebell,Campanula rotundifolia,1950,204,23/07/1950,S,FIrst flowering,424000,98000,Hampshire,
232358,Garlic mustard,Alliaria petiolata,1950,5,5/01/1950,S,FIrst flowering,424000,98000,Hampshire,
230534,Lesser celandine,Ranunculus ficaria,1950,36,5/02/1950,S,FIrst flowering,224000,484000,Isle of Man,
230534,Harebell,Campanula rotundifolia,1950,180,29/06/1950,S,FIrst flowering,224000,484000,Isle of Man,
232749,Ivy,Hedera helix,1950,251,8/09/1950,A,FIrst flowering,586000,269000,Suffolk,
230534,Winter Aconite,Eranthis hyemalis,1950,15,15/01/1950,S,FIrst flowering,224000,484000,Isle of Man,
230534,Colt's-foot,Tussilago farfara,1950,46,15/02/1950,S,FIrst flowering,224000,484000,Isle of Man,
230534,Great Bindweed,Calystegia silvatica,1950,176,25/06/1950,S,FIrst flowering,224000,484000,Isle of Man,
230534,Ivy,Hedera helix,1950,247,4/09/1950,A,FIrst flowering,224000,484000,Isle of Man,
230534,Devils Bit Scabious,Succisa pratensis,1950,233,21/08/1950,S,FIrst flowering,224000,484000,Isle of Man,
232780,Colt's-foot,Tussilago farfara,1950,66,7/03/1950,S,FIrst flowering,605000,246000,Suffolk,
232601,Dog rose,Rosa canina,1950,151,31/05/1950,S,FIrst flowering,518000,229000,Hertfordshire,
232806,Snowdrop,Galanthus nivalis,1950,41,10/02/1950,S,FIrst flowering,616000,244000,Suffolk,
232806,Goat Willow,Salix caprea,1950,75,16/03/1950,S,FIrst flowering,616000,244000,Suffolk,
232806,Elm,Ulmus procera,1950,65,6/03/1950,S,FIrst flowering,616000,244000,Suffolk,
232806,Hawthorn,Crataegus monogyna,1950,144,24/05/1950,S,FIrst flowering,616000,244000,Suffolk,
232806,White Dead-nettle,Lamium album,1950,97,7/04/1950,S,FIrst flowering,616000,244000,Suffolk,
232806,Common Mallow,Malva sylvestris,1950,227,15/08/1950,S,FIrst flowering,616000,244000,Suffolk,
232806,Hyacinth,Hyacinthoides non-scripta x hispanica = H. x massartiana,1950,69,10/03/1950,S,FIrst flowering,616000,244000,Suffolk,
232749,Yew,Taxus baccata,1950,50,19/02/1950,S,FIrst flowering,586000,269000,Suffolk,
232998,Wood anemone,Anemone nemorosa,1950,86,27/03/1950,S,FIrst flowering,514000,188000,London,London
232998,Lesser celandine,Ranunculus ficaria,1950,76,17/03/1950,S,FIrst flowering,514000,188000,London,London
232954,Harebell,Campanula rotundifolia,1950,233,21/08/1950,S,FIrst flowering,510000,117000,West Sussex,South East
232806,Rosebay Willow-herb,Chamerion angustifolium,1950,182,1/07/1950,S,FIrst flowering,616000,244000,Suffolk,
232772,Hazel,Corylus avellana,1950,42,11/02/1950,S,FIrst flowering,604000,245000,Suffolk,
232772,Dandelion,Taraxacum sect. Erythrosperma,1950,91,1/04/1950,S,FIrst flowering,604000,245000,Suffolk,
232772,Black Knapweed,Centaurea nigra,1950,301,28/10/1950,S,FIrst flowering,604000,245000,Suffolk,
232749,Butterbur,Petasites hybridus,1950,50,19/02/1950,S,FIrst flowering,586000,269000,Suffolk,
232772,Winter Aconite,Eranthis hyemalis,1950,42,11/02/1950,S,FIrst flowering,604000,245000,Suffolk,
232772,Agrimony,Agrimonia eupatoria,1950,175,24/06/1950,S,FIrst flowering,604000,245000,Suffolk,
232954,Bluebell,Hyacinthoides non-scripta,1950,102,12/04/1950,S,FIrst flowering,510000,117000,West Sussex,South East
232954,Wood anemone,Anemone nemorosa,1950,86,27/03/1950,S,FIrst flowering,510000,117000,West Sussex,South East
232954,Oxeye daisy,Leucanthemum vulgare,1950,148,28/05/1950,S,FIrst flowering,510000,117000,West Sussex,South East
232719,Wood anemone,Anemone nemorosa,1950,78,19/03/1950,S,FIrst flowering,570000,206000,Essex,
232719,Bluebell,Hyacinthoides non-scripta,1950,113,23/04/1950,S,FIrst flowering,570000,206000,Essex,
232719,Hazel,Corylus avellana,1950,20,20/01/1950,S,FIrst flowering,570000,206000,Essex,
232719,Hazel,Corylus avellana,1950,48,17/02/1950,S,FIrst flowering,570000,206000,Essex,
232772,Common Dog Violet,Viola riviniana,1950,42,11/02/1950,S,FIrst flowering,604000,245000,Suffolk,
232772,Cowslip,Primula veris,1950,91,1/04/1950,S,FIrst flowering,604000,245000,Suffolk,
230993,Sweet Violet,Viola odorata,1950,77,18/03/1950,S,FIrst flowering,351000,320000,Shropshire,West Midlands
232954,Dog rose,Rosa canina,1950,154,3/06/1950,S,FIrst flowering,510000,117000,West Sussex,South East
232520,Colt's-foot,Tussilago farfara,1950,49,18/02/1950,S,FIrst flowering,624000,340000,Norfolk,
232719,Lesser celandine,Ranunculus ficaria,1950,71,12/03/1950,S,FIrst flowering,570000,206000,Essex,
230410,Snowdrop,Galanthus nivalis,1950,47,16/02/1950,S,FIrst flowering,424000,568000,Northumberland,
232828,Honeysuckle,Lonicera periclymenum,1951,176,25/06/1951,S,FIrst flowering,623000,248000,Suffolk,
232828,Dog rose,Rosa canina,1951,176,25/06/1951,S,FIrst flowering,623000,248000,Suffolk,
378177,Snowdrop,Galanthus nivalis,1951,50,19/02/1951,S,FIrst flowering,427600,437500,West Yorkshire    ,Yorkshire & Humber
232833,Forgetmenot,Myosotis arvensis,1951,153,2/06/1951,S,FIrst flowering,625000,246000,Suffolk,
231895,Lesser celandine,Ranunculus ficaria,1951,107,17/04/1951,S,FIrst flowering,371000,139000,Somerset,
231895,Dog's Mercury,Mercurialis perennis,1951,107,17/04/1951,S,FIrst flowering,371000,139000,Somerset,
231895,Primrose,Primula vulgaris,1951,107,17/04/1951,S,FIrst flowering,371000,139000,Somerset,
232799,Bluebell,Hyacinthoides non-scripta,1951,139,19/05/1951,S,FIrst flowering,615000,234000,Suffolk,
230933,Lesser celandine,Ranunculus ficaria,1951,28,28/01/1951,S,FIrst flowering,329000,329000,Shropshire,
230933,Lesser celandine,Ranunculus ficaria,1951,278,5/10/1951,S,FIrst flowering,329000,329000,Shropshire,
33838,Plum,,1951,110,20/04/1951,S,FIrst flowering,518500,158500,Surrey            ,South East
230933,Garlic mustard,Alliaria petiolata,1951,111,21/04/1951,S,FIrst flowering,329000,329000,Shropshire,
230933,Ivy,Hedera helix,1951,261,18/09/1951,A,FIrst flowering,329000,329000,Shropshire,
231228,Hazel,Corylus avellana,1951,28,28/01/1951,S,FIrst flowering,505000,302000,Cambridgeshire,East of England
233144,Primrose,Primula vulgaris,1951,309,5/11/1951,S,FIrst flowering,530000,194000,London,London
232833,Holly,Ilex aquifolium,1951,153,2/06/1951,S,FIrst flowering,625000,246000,Suffolk,
232842,Snowdrop,Galanthus nivalis,1951,41,10/02/1951,S,FIrst flowering,630000,234000,Suffolk,
232803,Yellow Archangle,Lamium galeobdolon,1951,142,22/05/1951,S,FIrst flowering,616000,239000,Suffolk,
232049,Greater Stitchwort,Stellaria holostea,1951,112,22/04/1951,S,FIrst flowering,459000,176000,Berkshire,
231124,Dog's Mercury,Mercurialis perennis,1951,56,25/02/1951,S,FIrst flowering,394000,390000,Gt. Manchester,
231124,Dog's Mercury,Mercurialis perennis,1951,56,25/02/1951,S,FIrst flowering,394000,390000,Gt. Manchester,
232884,Purple Loosestrife,Lythrum salicaria,1951,235,23/08/1951,S,FIrst flowering,654000,292000,Suffolk,
232820,Foxglove,Digitalis purpurea,1951,153,2/06/1951,S,FIrst flowering,621000,245000,Suffolk,
232820,Marsh Marigold,Caltha palustris,1951,153,2/06/1951,S,FIrst flowering,621000,245000,Suffolk,
230534,Wood anemone,Anemone nemorosa,1951,102,12/04/1951,S,FIrst flowering,224000,484000,Isle of Man,
232096,Garlic mustard,Alliaria petiolata,1951,118,28/04/1951,S,FIrst flowering,475000,171000,Berkshire,
230534,Dog rose,Rosa canina,1951,172,21/06/1951,S,FIrst flowering,224000,484000,Isle of Man,
231382,Lesser celandine,Ranunculus ficaria,1951,346,12/12/1951,S,FIrst flowering,230000,210000,Carmarthenshire,Wales
232137,Ivy,Hedera helix,1951,260,17/09/1951,A,FIrst flowering,486000,122000,West Sussex,South East
231450,Colt's-foot,Tussilago farfara,1951,104,14/04/1951,S,FIrst flowering,359000,267000,Worcestershire,
231450,Lesser celandine,Ranunculus ficaria,1951,104,14/04/1951,S,FIrst flowering,359000,267000,Worcestershire,
231639,Cowslip,Primula veris,1951,113,23/04/1951,S,FIrst flowering,428000,206000,Oxfordshire,
232048,Cowslip,Primula veris,1951,105,15/04/1951,S,FIrst flowering,458000,186000,Oxfordshire,South East
231450,Dog's Mercury,Mercurialis perennis,1951,104,14/04/1951,S,FIrst flowering,359000,267000,Worcestershire,
233323,Lesser celandine,Ranunculus ficaria,1951,53,22/02/1951,S,FIrst flowering,559000,156000,Kent,
233323,Colt's-foot,Tussilago farfara,1951,47,16/02/1951,S,FIrst flowering,559000,156000,Kent,
232140,Colt's-foot,Tussilago farfara,1951,38,7/02/1951,S,FIrst flowering,486000,168000,Berkshire,
233323,Garlic mustard,Alliaria petiolata,1951,115,25/04/1951,S,FIrst flowering,559000,156000,Kent,
233323,Bee Orchid,Ophrys apifera,1951,176,25/06/1951,S,FIrst flowering,559000,156000,Kent,
232084,Dog's Mercury,Mercurialis perennis,1951,92,2/04/1951,S,FIrst flowering,471000,175000,Berkshire,South East
235391,Oxeye daisy,Leucanthemum vulgare,1951,155,4/06/1951,S,FIrst flowering,399800,303100,West Midlands     ,West Midlands     
235391,Dog rose,Rosa canina,1951,167,16/06/1951,S,FIrst flowering,399800,303100,West Midlands     ,West Midlands     
235391,Colt's-foot,Tussilago farfara,1951,74,15/03/1951,S,FIrst flowering,399800,303100,West Midlands     ,West Midlands     
232140,Lesser celandine,Ranunculus ficaria,1951,63,4/03/1951,S,FIrst flowering,486000,168000,Berkshire,
232137,Dog rose,Rosa canina,1951,157,6/06/1951,S,FIrst flowering,486000,122000,West Sussex,South East
232387,Devils Bit Scabious,Succisa pratensis,1951,224,12/08/1951,S,FIrst flowering,454000,92000,Isle of Wight,South East
232387,Harebell,Campanula rotundifolia,1951,210,29/07/1951,S,FIrst flowering,454000,92000,Isle of Wight,South East
232387,Bee Orchid,Ophrys apifera,1951,175,24/06/1951,S,FIrst flowering,454000,92000,Isle of Wight,South East
232001,Primrose,Primula vulgaris,1951,28,28/01/1951,S,FIrst flowering,441000,112000,Hampshire,
232001,Hazel,Corylus avellana,1951,21,21/01/1951,S,FIrst flowering,441000,112000,Hampshire,
232001,Lesser celandine,Ranunculus ficaria,1951,21,21/01/1951,S,FIrst flowering,441000,112000,Hampshire,
232001,Dog's Mercury,Mercurialis perennis,1951,28,28/01/1951,S,FIrst flowering,441000,112000,Hampshire,
230553,Hazel,Corylus avellana,1951,21,21/01/1951,S,FIrst flowering,307000,499000,Cumbria,
230512,Dog rose,Rosa canina,1951,158,7/06/1951,S,FIrst flowering,326000,320000,Powys,Wales
230512,Primrose,Primula vulgaris,1951,20,20/01/1951,S,FIrst flowering,326000,320000,Powys,Wales
230512,Greater Stitchwort,Stellaria holostea,1951,101,11/04/1951,S,FIrst flowering,326000,320000,Powys,Wales
233411,Bluebell,Hyacinthoides non-scripta,1951,119,29/04/1951,S,FIrst flowering,581000,165000,Kent,
232001,Wood anemone,Anemone nemorosa,1951,73,14/03/1951,S,FIrst flowering,441000,112000,Hampshire,
232387,Lesser celandine,Ranunculus ficaria,1951,54,23/02/1951,S,FIrst flowering,454000,92000,Isle of Wight,South East
232387,Greater Stitchwort,Stellaria holostea,1951,98,8/04/1951,S,FIrst flowering,454000,92000,Isle of Wight,South East
232387,Garlic mustard,Alliaria petiolata,1951,98,8/04/1951,S,FIrst flowering,454000,92000,Isle of Wight,South East
230512,Colt's-foot,Tussilago farfara,1951,52,21/02/1951,S,FIrst flowering,326000,320000,Powys,Wales
232001,Spurge Laurel,Daphne laureola ,1951,21,21/01/1951,S,FIrst flowering,441000,112000,Hampshire,
230354,Colt's-foot,Tussilago farfara,1951,77,18/03/1951,S,FIrst flowering,393000,564000,Northumberland,
232387,Wood anemone,Anemone nemorosa,1951,77,18/03/1951,S,FIrst flowering,454000,92000,Isle of Wight,South East
232387,Dog rose,Rosa canina,1951,161,10/06/1951,S,FIrst flowering,454000,92000,Isle of Wight,South East
230553,Snowdrop,Galanthus nivalis,1951,17,17/01/1951,S,FIrst flowering,307000,499000,Cumbria,
230553,Butterbur,Petasites hybridus,1951,21,21/01/1951,S,FIrst flowering,307000,499000,Cumbria,
232806,Almond,Prunus dulcis,1951,100,10/04/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Field Poppy,Papaver rhoeas,1951,168,17/06/1951,S,FIrst flowering,616000,244000,Suffolk,
235391,Lesser celandine,Ranunculus ficaria,1951,79,20/03/1951,S,FIrst flowering,399800,303100,West Midlands     ,West Midlands     
233329,Wood anemone,Anemone nemorosa,1951,78,19/03/1951,S,FIrst flowering,560000,157000,Kent,
232780,Dog's Mercury,Mercurialis perennis,1951,21,21/01/1951,S,FIrst flowering,605000,246000,Suffolk,
232806,Lesser celandine,Ranunculus ficaria,1951,105,15/04/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Prickly Lettuce,Lactuca serriola,1951,202,21/07/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Oxeye daisy,Leucanthemum vulgare,1951,164,13/06/1951,S,FIrst flowering,616000,244000,Suffolk,
232769,Black Knapweed,Centaurea nigra,1951,314,10/11/1951,S,FIrst flowering,602000,242000,Suffolk,
232706,Dog's Mercury,Mercurialis perennis,1951,98,8/04/1951,S,FIrst flowering,562000,254000,Cambridgeshire,
232706,Garlic mustard,Alliaria petiolata,1951,114,24/04/1951,S,FIrst flowering,562000,254000,Cambridgeshire,
232706,Cowslip,Primula veris,1951,111,21/04/1951,S,FIrst flowering,562000,254000,Cambridgeshire,
232706,Wood anemone,Anemone nemorosa,1951,105,15/04/1951,S,FIrst flowering,562000,254000,Cambridgeshire,
230534,Lesser celandine,Ranunculus ficaria,1951,46,15/02/1951,S,FIrst flowering,224000,484000,Isle of Man,
230534,Winter Aconite,Eranthis hyemalis,1951,29,29/01/1951,S,FIrst flowering,224000,484000,Isle of Man,
230534,Snowdrop,Galanthus nivalis,1951,22,22/01/1951,S,FIrst flowering,224000,484000,Isle of Man,
230534,Colt's-foot,Tussilago farfara,1951,63,4/03/1951,S,FIrst flowering,224000,484000,Isle of Man,
230534,Devils Bit Scabious,Succisa pratensis,1951,228,16/08/1951,S,FIrst flowering,224000,484000,Isle of Man,
230534,Ivy,Hedera helix,1951,259,16/09/1951,A,FIrst flowering,224000,484000,Isle of Man,
232806,Colt's-foot,Tussilago farfara,1951,80,21/03/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Goat's Beard,Tragopogon pratensis,1951,111,21/04/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Common Fumitory,Fumaria officinalis,1951,170,19/06/1951,S,FIrst flowering,616000,244000,Suffolk,
232998,Colt's-foot,Tussilago farfara,1951,74,15/03/1951,S,FIrst flowering,514000,188000,London,London
232806,Bramble,Rubus fruticosus agg.,1951,210,29/07/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Alder,Alnus glutinosa,1951,70,11/03/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Ash,Fraxinus excelsior,1951,107,17/04/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Elm,Ulmus procera,1951,90,31/03/1951,S,FIrst flowering,616000,244000,Suffolk,
232780,Spurge Laurel,Daphne laureola ,1951,22,22/01/1951,S,FIrst flowering,605000,246000,Suffolk,
232780,Winter Aconite,Eranthis hyemalis,1951,10,10/01/1951,S,FIrst flowering,605000,246000,Suffolk,
232806,Hazel,Corylus avellana,1951,27,27/01/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Hyacinth,Hyacinthoides non-scripta x hispanica = H. x massartiana,1951,73,14/03/1951,S,FIrst flowering,616000,244000,Suffolk,
232806,Yellow Flag,Iris pseudacorus,1951,161,10/06/1951,S,FIrst flowering,616000,244000,Suffolk,
232998,Wood anemone,Anemone nemorosa,1951,93,3/04/1951,S,FIrst flowering,514000,188000,London,London
232998,Lesser celandine,Ranunculus ficaria,1951,80,21/03/1951,S,FIrst flowering,514000,188000,London,London
