species,year,doy
achillea millefolium,1975,231
achillea millefolium,1975,234
achillea millefolium,1975,236
achillea millefolium,1975,240
achillea millefolium,1975,243
achillea millefolium,1975,246
achillea millefolium,1975,249
achillea millefolium,1975,251
achillea millefolium,1977,210
achillea millefolium,1977,215
achillea millefolium,1977,218
achillea millefolium,1977,220
achillea millefolium,1977,226
achillea millefolium,1977,228
achillea millefolium,1977,230
achillea millefolium,1977,194
achillea millefolium,1977,199
achillea millefolium,1977,204
achillea millefolium,1977,207
achillea millefolium,1977,210
achillea millefolium,1977,215
achillea millefolium,1977,218
achillea millefolium,1977,220
achillea millefolium,1977,226
achillea millefolium,1977,228
achillea millefolium,1977,230
achillea millefolium,1977,187
achillea millefolium,1977,189
achillea millefolium,1977,192
achillea millefolium,1977,194
achillea millefolium,1977,199
achillea millefolium,1977,204
achillea millefolium,1977,207
achillea millefolium,1977,210
achillea millefolium,1977,215
achillea millefolium,1977,218
achillea millefolium,1977,220
achillea millefolium,1977,226
achillea millefolium,1977,228
achillea millefolium,1977,230
achillea millefolium,1977,199
achillea millefolium,1977,204
achillea millefolium,1977,207
achillea millefolium,1977,210
achillea millefolium,1977,215
achillea millefolium,1977,218
achillea millefolium,1977,220
achillea millefolium,1977,226
achillea millefolium,1977,228
achillea millefolium,1977,204
achillea millefolium,1977,207
achillea millefolium,1977,210
achillea millefolium,1977,215
achillea millefolium,1977,218
achillea millefolium,1977,220
achillea millefolium,1977,226
achillea millefolium,1977,228
achillea millefolium,1977,230
achillea millefolium,1977,187
achillea millefolium,1977,189
achillea millefolium,1977,192
achillea millefolium,1977,194
achillea millefolium,1977,199
achillea millefolium,1977,204
achillea millefolium,1977,207
achillea millefolium,1977,210
achillea millefolium,1977,215
achillea millefolium,1977,218
achillea millefolium,1977,220
achillea millefolium,1977,226
achillea millefolium,1977,228
achillea millefolium,1977,230
achillea millefolium,1977,187
achillea millefolium,1977,189
achillea millefolium,1977,192
achillea millefolium,1977,194
achillea millefolium,1977,199
achillea millefolium,1977,204
achillea millefolium,1977,207
achillea millefolium,1977,210
achillea millefolium,1977,215
achillea millefolium,1977,187
achillea millefolium,1977,189
achillea millefolium,1977,192
achillea millefolium,1977,194
achillea millefolium,1977,199
achillea millefolium,1977,204
achillea millefolium,1977,207
achillea millefolium,1977,210
achillea millefolium,1977,215
achillea millefolium,1977,218
achillea millefolium,1977,220
achillea millefolium,1977,226
achillea millefolium,1977,228
achillea millefolium,1977,230
achillea millefolium,1977,194
achillea millefolium,1977,199
achillea millefolium,1977,204
achillea millefolium,1977,207
achillea millefolium,1977,210
achillea millefolium,1977,215
achillea millefolium,1977,218
achillea millefolium,1977,220
achillea millefolium,1977,226
achillea millefolium,1977,228
achillea millefolium,1977,230
achillea millefolium,1979,223
achillea millefolium,1979,225
achillea millefolium,1979,226
achillea millefolium,1979,228
achillea millefolium,1979,235
achillea millefolium,1979,239
achillea millefolium,1979,241
achillea millefolium,1979,243
achillea millefolium,1979,246
achillea millefolium,1979,248
achillea millefolium,1979,250
achillea millefolium,1979,253
achillea millefolium,1979,257
achillea millefolium,1979,260
achillea millefolium,1979,204
achillea millefolium,1979,206
achillea millefolium,1979,209
achillea millefolium,1979,211
achillea millefolium,1979,213
achillea millefolium,1979,215
achillea millefolium,1979,217
achillea millefolium,1979,219
achillea millefolium,1979,221
achillea millefolium,1979,223
achillea millefolium,1979,225
achillea millefolium,1979,226
achillea millefolium,1979,228
achillea millefolium,1979,235
achillea millefolium,1979,239
achillea millefolium,1979,241
achillea millefolium,1979,243
achillea millefolium,1979,246
achillea millefolium,1979,248
achillea millefolium,1979,250
achillea millefolium,1979,253
achillea millefolium,1979,257
achillea millefolium,1980,205
achillea millefolium,1980,207
achillea millefolium,1980,211
achillea millefolium,1980,213
achillea millefolium,1980,215
achillea millefolium,1980,219
achillea millefolium,1980,221
achillea millefolium,1980,223
achillea millefolium,1980,227
achillea millefolium,1980,231
achillea millefolium,1980,234
achillea millefolium,1980,235
achillea millefolium,1980,237
achillea millefolium,1980,240
achillea millefolium,1980,243
achillea millefolium,1980,246
achillea millefolium,1980,249
achillea millefolium,1980,253
achillea millefolium,1980,256
achillea millefolium,1980,259
achillea millefolium,1980,262
achillea millefolium,1980,240
achillea millefolium,1980,243
achillea millefolium,1980,246
achillea millefolium,1980,211
achillea millefolium,1980,213
achillea millefolium,1980,215
achillea millefolium,1980,219
achillea millefolium,1980,221
achillea millefolium,1980,223
achillea millefolium,1980,227
achillea millefolium,1980,231
achillea millefolium,1980,234
achillea millefolium,1980,235
achillea millefolium,1980,237
achillea millefolium,1980,240
achillea millefolium,1980,243
achillea millefolium,1980,246
achillea millefolium,1980,249
achillea millefolium,1980,253
achillea millefolium,1980,256
achillea millefolium,1980,259
achillea millefolium,1980,262
achillea millefolium,1980,266
achillea millefolium,1980,205
achillea millefolium,1980,207
achillea millefolium,1980,211
achillea millefolium,1980,213
achillea millefolium,1980,215
achillea millefolium,1980,219
achillea millefolium,1980,221
achillea millefolium,1980,223
achillea millefolium,1980,227
achillea millefolium,1980,231
achillea millefolium,1980,234
achillea millefolium,1980,235
achillea millefolium,1980,237
achillea millefolium,1980,240
achillea millefolium,1980,243
achillea millefolium,1980,246
achillea millefolium,1980,249
achillea millefolium,1980,221
achillea millefolium,1980,223
achillea millefolium,1980,227
achillea millefolium,1980,231
achillea millefolium,1980,234
achillea millefolium,1980,235
achillea millefolium,1980,237
achillea millefolium,1980,240
achillea millefolium,1980,243
achillea millefolium,1980,246
achillea millefolium,1980,249
achillea millefolium,1980,253
achillea millefolium,1980,221
achillea millefolium,1980,223
achillea millefolium,1980,227
achillea millefolium,1980,231
achillea millefolium,1980,234
achillea millefolium,1980,235
achillea millefolium,1980,237
achillea millefolium,1980,240
achillea millefolium,1981,199
achillea millefolium,1981,201
achillea millefolium,1981,204
achillea millefolium,1981,206
achillea millefolium,1981,208
achillea millefolium,1981,211
achillea millefolium,1981,214
achillea millefolium,1981,216
achillea millefolium,1981,218
achillea millefolium,1981,221
achillea millefolium,1981,224
achillea millefolium,1981,227
achillea millefolium,1981,229
achillea millefolium,1981,232
achillea millefolium,1981,236
achillea millefolium,1981,238
achillea millefolium,1981,240
achillea millefolium,1981,243
achillea millefolium,1981,245
achillea millefolium,1981,248
achillea millefolium,1981,251
achillea millefolium,1981,255
achillea millefolium,1981,182
achillea millefolium,1981,184
achillea millefolium,1981,188
achillea millefolium,1981,190
achillea millefolium,1981,193
achillea millefolium,1981,195
achillea millefolium,1981,197
achillea millefolium,1981,199
achillea millefolium,1981,201
achillea millefolium,1981,204
achillea millefolium,1981,206
achillea millefolium,1981,208
achillea millefolium,1981,211
achillea millefolium,1981,214
achillea millefolium,1981,216
achillea millefolium,1981,218
achillea millefolium,1981,221
achillea millefolium,1981,224
achillea millefolium,1981,227
achillea millefolium,1981,229
achillea millefolium,1981,232
achillea millefolium,1981,234
achillea millefolium,1981,236
achillea millefolium,1981,238
achillea millefolium,1981,240
achillea millefolium,1981,243
achillea millefolium,1981,245
achillea millefolium,1981,248
achillea millefolium,1981,255
achillea millefolium,1981,259
achillea millefolium,1981,262
achillea millefolium,1981,221
achillea millefolium,1981,224
achillea millefolium,1981,229
achillea millefolium,1981,232
achillea millefolium,1981,234
achillea millefolium,1981,236
achillea millefolium,1981,240
achillea millefolium,1981,243
achillea millefolium,1981,245
achillea millefolium,1981,248
achillea millefolium,1981,251
achillea millefolium,1981,255
achillea millefolium,1981,259
achillea millefolium,1981,262
achillea millefolium,1981,184
achillea millefolium,1981,188
achillea millefolium,1981,190
achillea millefolium,1981,193
achillea millefolium,1981,195
achillea millefolium,1981,197
achillea millefolium,1981,199
achillea millefolium,1981,201
achillea millefolium,1981,204
achillea millefolium,1981,206
achillea millefolium,1981,208
achillea millefolium,1981,211
achillea millefolium,1981,214
achillea millefolium,1981,216
achillea millefolium,1981,218
achillea millefolium,1981,221
achillea millefolium,1981,224
achillea millefolium,1981,227
achillea millefolium,1981,229
achillea millefolium,1981,232
achillea millefolium,1981,234
achillea millefolium,1981,236
achillea millefolium,1981,238
achillea millefolium,1981,240
achillea millefolium,1981,243
achillea millefolium,1981,245
achillea millefolium,1981,248
achillea millefolium,1981,251
achillea millefolium,1981,255
achillea millefolium,1981,259
achillea millefolium,1981,262
achillea millefolium,1981,251
achillea millefolium,1981,193
achillea millefolium,1981,195
achillea millefolium,1981,197
achillea millefolium,1981,199
achillea millefolium,1981,201
achillea millefolium,1981,204
achillea millefolium,1981,206
achillea millefolium,1981,208
achillea millefolium,1981,211
achillea millefolium,1981,214
achillea millefolium,1981,216
achillea millefolium,1981,218
achillea millefolium,1981,221
achillea millefolium,1981,224
achillea millefolium,1981,227
achillea millefolium,1981,229
achillea millefolium,1981,232
achillea millefolium,1981,234
achillea millefolium,1981,236
achillea millefolium,1981,238
achillea millefolium,1981,240
achillea millefolium,1981,243
achillea millefolium,1981,245
achillea millefolium,1981,248
achillea millefolium,1982,215
achillea millefolium,1982,217
achillea millefolium,1982,220
achillea millefolium,1982,222
achillea millefolium,1982,224
achillea millefolium,1982,226
achillea millefolium,1982,228
achillea millefolium,1982,230
achillea millefolium,1982,232
achillea millefolium,1982,234
achillea millefolium,1982,238
achillea millefolium,1982,241
achillea millefolium,1982,243
achillea millefolium,1982,245
achillea millefolium,1982,247
achillea millefolium,1982,250
achillea millefolium,1982,252
achillea millefolium,1982,255
achillea millefolium,1982,217
achillea millefolium,1982,220
achillea millefolium,1982,222
achillea millefolium,1982,224
achillea millefolium,1982,226
achillea millefolium,1982,228
achillea millefolium,1982,230
achillea millefolium,1982,232
achillea millefolium,1982,234
achillea millefolium,1982,238
achillea millefolium,1982,241
achillea millefolium,1982,243
achillea millefolium,1982,245
achillea millefolium,1982,247
achillea millefolium,1982,250
achillea millefolium,1982,252
achillea millefolium,1982,255
achillea millefolium,1982,258
achillea millefolium,1982,260
achillea millefolium,1982,215
achillea millefolium,1982,217
achillea millefolium,1982,220
achillea millefolium,1982,222
achillea millefolium,1982,224
achillea millefolium,1982,226
achillea millefolium,1982,228
achillea millefolium,1982,230
achillea millefolium,1982,232
achillea millefolium,1982,234
achillea millefolium,1982,238
achillea millefolium,1982,241
achillea millefolium,1982,243
achillea millefolium,1982,245
achillea millefolium,1982,247
achillea millefolium,1982,250
achillea millefolium,1982,252
achillea millefolium,1982,255
achillea millefolium,1982,258
achillea millefolium,1982,260
achillea millefolium,1982,264
achillea millefolium,1982,266
achillea millefolium,1982,268
achillea millefolium,1982,270
achillea millefolium,1982,272
achillea millefolium,1982,222
achillea millefolium,1982,224
achillea millefolium,1982,226
achillea millefolium,1982,228
achillea millefolium,1982,230
achillea millefolium,1982,232
achillea millefolium,1982,234
achillea millefolium,1982,238
achillea millefolium,1982,241
achillea millefolium,1982,243
achillea millefolium,1982,245
achillea millefolium,1982,247
achillea millefolium,1982,250
achillea millefolium,1982,252
achillea millefolium,1982,255
achillea millefolium,1982,258
achillea millefolium,1982,260
achillea millefolium,1982,264
achillea millefolium,1982,204
achillea millefolium,1982,206
achillea millefolium,1982,208
achillea millefolium,1982,210
achillea millefolium,1982,212
achillea millefolium,1982,215
achillea millefolium,1982,217
achillea millefolium,1982,220
achillea millefolium,1982,222
achillea millefolium,1982,224
achillea millefolium,1982,226
achillea millefolium,1982,228
achillea millefolium,1982,230
achillea millefolium,1982,232
achillea millefolium,1982,234
achillea millefolium,1982,238
achillea millefolium,1982,241
achillea millefolium,1982,243
achillea millefolium,1982,245
achillea millefolium,1982,247
achillea millefolium,1982,250
achillea millefolium,1982,252
achillea millefolium,1982,255
achillea millefolium,1982,258
achillea millefolium,1982,260
achillea millefolium,1982,264
achillea millefolium,1982,266
achillea millefolium,1982,268
achillea millefolium,1982,270
achillea millefolium,1982,274
achillea millefolium,1982,210
achillea millefolium,1982,212
achillea millefolium,1982,215
achillea millefolium,1982,217
achillea millefolium,1982,220
achillea millefolium,1982,222
achillea millefolium,1982,224
achillea millefolium,1982,226
achillea millefolium,1982,228
achillea millefolium,1982,230
achillea millefolium,1982,232
achillea millefolium,1982,234
achillea millefolium,1982,238
achillea millefolium,1982,241
achillea millefolium,1982,243
achillea millefolium,1982,245
achillea millefolium,1982,247
achillea millefolium,1982,250
achillea millefolium,1982,252
achillea millefolium,1982,255
achillea millefolium,1982,258
achillea millefolium,1982,260
achillea millefolium,1982,264
achillea millefolium,1982,268
achillea millefolium,1982,212
achillea millefolium,1982,215
achillea millefolium,1982,217
achillea millefolium,1982,220
achillea millefolium,1982,222
achillea millefolium,1982,224
achillea millefolium,1982,226
achillea millefolium,1982,228
achillea millefolium,1982,230
achillea millefolium,1982,232
achillea millefolium,1982,234
achillea millefolium,1982,238
achillea millefolium,1982,241
achillea millefolium,1982,243
achillea millefolium,1982,245
achillea millefolium,1982,247
achillea millefolium,1982,250
achillea millefolium,1982,252
achillea millefolium,1982,255
achillea millefolium,1982,258
achillea millefolium,1982,260
achillea millefolium,1982,264
achillea millefolium,1982,266
achillea millefolium,1982,268
achillea millefolium,1982,270
achillea millefolium,1982,272
achillea millefolium,1982,274
achillea millefolium,1983,224
achillea millefolium,1983,227
achillea millefolium,1983,230
achillea millefolium,1983,232
achillea millefolium,1983,235
achillea millefolium,1983,238
achillea millefolium,1983,241
achillea millefolium,1983,245
achillea millefolium,1983,247
achillea millefolium,1983,251
achillea millefolium,1983,254
achillea millefolium,1983,256
achillea millefolium,1983,258
achillea millefolium,1983,230
achillea millefolium,1983,232
achillea millefolium,1983,235
achillea millefolium,1983,238
achillea millefolium,1983,241
achillea millefolium,1983,245
achillea millefolium,1983,247
achillea millefolium,1983,251
achillea millefolium,1983,254
achillea millefolium,1983,256
achillea millefolium,1983,258
achillea millefolium,1983,213
achillea millefolium,1983,219
achillea millefolium,1983,222
achillea millefolium,1983,224
achillea millefolium,1983,227
achillea millefolium,1983,230
achillea millefolium,1983,232
achillea millefolium,1983,235
achillea millefolium,1983,238
achillea millefolium,1983,241
achillea millefolium,1983,245
achillea millefolium,1983,247
achillea millefolium,1983,251
achillea millefolium,1983,254
achillea millefolium,1983,256
achillea millefolium,1983,258
achillea millefolium,1983,219
achillea millefolium,1983,222
achillea millefolium,1983,224
achillea millefolium,1983,227
achillea millefolium,1983,230
achillea millefolium,1983,232
achillea millefolium,1983,219
achillea millefolium,1983,222
achillea millefolium,1983,224
achillea millefolium,1983,227
achillea millefolium,1983,230
achillea millefolium,1983,232
achillea millefolium,1983,235
achillea millefolium,1983,238
achillea millefolium,1983,241
achillea millefolium,1983,245
achillea millefolium,1983,247
achillea millefolium,1983,251
achillea millefolium,1983,254
achillea millefolium,1983,222
achillea millefolium,1983,224
achillea millefolium,1983,227
achillea millefolium,1983,230
achillea millefolium,1983,232
achillea millefolium,1983,235
achillea millefolium,1983,238
achillea millefolium,1983,241
achillea millefolium,1983,245
achillea millefolium,1983,247
achillea millefolium,1983,251
achillea millefolium,1983,254
achillea millefolium,1983,256
achillea millefolium,1983,258
achillea millefolium,1984,214
achillea millefolium,1984,216
achillea millefolium,1984,218
achillea millefolium,1984,220
achillea millefolium,1984,222
achillea millefolium,1984,224
achillea millefolium,1984,226
achillea millefolium,1984,228
achillea millefolium,1984,230
achillea millefolium,1984,232
achillea millefolium,1984,234
achillea millefolium,1984,236
achillea millefolium,1984,238
achillea millefolium,1984,241
achillea millefolium,1984,244
achillea millefolium,1984,247
achillea millefolium,1984,250
achillea millefolium,1984,214
achillea millefolium,1984,216
achillea millefolium,1984,218
achillea millefolium,1984,220
achillea millefolium,1984,222
achillea millefolium,1984,224
achillea millefolium,1984,226
achillea millefolium,1984,228
achillea millefolium,1984,230
achillea millefolium,1984,232
achillea millefolium,1984,234
achillea millefolium,1984,236
achillea millefolium,1984,238
achillea millefolium,1984,241
achillea millefolium,1984,244
achillea millefolium,1984,247
achillea millefolium,1984,250
achillea millefolium,1984,256
achillea millefolium,1984,207
achillea millefolium,1984,209
achillea millefolium,1984,211
achillea millefolium,1984,214
achillea millefolium,1984,216
achillea millefolium,1984,218
achillea millefolium,1984,220
achillea millefolium,1984,222
achillea millefolium,1984,224
achillea millefolium,1984,226
achillea millefolium,1984,228
achillea millefolium,1984,230
achillea millefolium,1984,232
achillea millefolium,1984,234
achillea millefolium,1984,236
achillea millefolium,1984,238
achillea millefolium,1984,241
achillea millefolium,1984,244
achillea millefolium,1984,247
achillea millefolium,1984,250
achillea millefolium,1984,256
achillea millefolium,1984,256
achillea millefolium,1984,211
achillea millefolium,1984,214
achillea millefolium,1984,216
achillea millefolium,1984,218
achillea millefolium,1984,220
achillea millefolium,1984,222
achillea millefolium,1984,224
achillea millefolium,1984,226
achillea millefolium,1984,228
achillea millefolium,1984,230
achillea millefolium,1984,232
achillea millefolium,1984,234
achillea millefolium,1984,236
achillea millefolium,1984,238
achillea millefolium,1984,241
achillea millefolium,1984,244
achillea millefolium,1984,247
achillea millefolium,1984,250
achillea millefolium,1985,193
achillea millefolium,1985,195
achillea millefolium,1985,197
achillea millefolium,1985,200
achillea millefolium,1985,202
achillea millefolium,1985,204
achillea millefolium,1985,207
achillea millefolium,1985,210
achillea millefolium,1985,212
achillea millefolium,1985,215
achillea millefolium,1985,217
achillea millefolium,1985,219
achillea millefolium,1985,221
achillea millefolium,1985,224
achillea millefolium,1985,226
achillea millefolium,1985,212
achillea millefolium,1985,215
achillea millefolium,1985,217
achillea millefolium,1985,219
achillea millefolium,1985,221
achillea millefolium,1985,224
achillea millefolium,1985,226
achillea millefolium,1985,228
achillea millefolium,1985,195
achillea millefolium,1985,197
achillea millefolium,1985,200
achillea millefolium,1985,202
achillea millefolium,1985,204
achillea millefolium,1985,207
achillea millefolium,1985,210
achillea millefolium,1985,197
achillea millefolium,1985,200
achillea millefolium,1985,202
achillea millefolium,1985,204
achillea millefolium,1985,207
achillea millefolium,1985,210
achillea millefolium,1985,212
achillea millefolium,1985,215
achillea millefolium,1985,217
achillea millefolium,1985,219
achillea millefolium,1985,221
achillea millefolium,1985,224
achillea millefolium,1985,226
achillea millefolium,1985,228
achillea millefolium,1986,213
achillea millefolium,1986,216
achillea millefolium,1986,219
achillea millefolium,1986,221
achillea millefolium,1986,223
achillea millefolium,1986,225
achillea millefolium,1986,227
achillea millefolium,1986,230
achillea millefolium,1986,232
achillea millefolium,1986,235
achillea millefolium,1986,238
achillea millefolium,1986,240
achillea millefolium,1986,243
achillea millefolium,1986,246
achillea millefolium,1986,249
achillea millefolium,1986,252
achillea millefolium,1986,219
achillea millefolium,1986,221
achillea millefolium,1986,223
achillea millefolium,1986,225
achillea millefolium,1986,227
achillea millefolium,1986,230
achillea millefolium,1986,232
achillea millefolium,1986,235
achillea millefolium,1986,238
achillea millefolium,1986,240
achillea millefolium,1986,243
achillea millefolium,1986,246
achillea millefolium,1986,249
achillea millefolium,1986,216
achillea millefolium,1986,219
achillea millefolium,1986,221
achillea millefolium,1986,223
achillea millefolium,1986,225
achillea millefolium,1986,227
achillea millefolium,1986,230
achillea millefolium,1986,232
achillea millefolium,1986,235
achillea millefolium,1986,238
achillea millefolium,1986,240
achillea millefolium,1986,209
achillea millefolium,1986,211
achillea millefolium,1986,213
achillea millefolium,1986,216
achillea millefolium,1986,219
achillea millefolium,1986,221
achillea millefolium,1986,223
achillea millefolium,1986,225
achillea millefolium,1986,227
achillea millefolium,1986,230
achillea millefolium,1986,232
achillea millefolium,1986,235
achillea millefolium,1986,238
achillea millefolium,1986,240
achillea millefolium,1986,243
achillea millefolium,1986,203
achillea millefolium,1986,205
achillea millefolium,1986,207
achillea millefolium,1986,209
achillea millefolium,1986,211
achillea millefolium,1986,213
achillea millefolium,1986,216
achillea millefolium,1986,219
achillea millefolium,1986,221
achillea millefolium,1986,223
achillea millefolium,1986,225
achillea millefolium,1986,227
achillea millefolium,1986,230
achillea millefolium,1986,232
achillea millefolium,1986,235
achillea millefolium,1986,238
achillea millefolium,1986,240
achillea millefolium,1986,243
achillea millefolium,1986,246
achillea millefolium,1986,249
achillea millefolium,1986,252
achillea millefolium,1986,211
achillea millefolium,1986,213
achillea millefolium,1986,216
achillea millefolium,1986,219
achillea millefolium,1986,221
achillea millefolium,1986,223
achillea millefolium,1986,225
achillea millefolium,1986,227
achillea millefolium,1986,230
achillea millefolium,1986,232
achillea millefolium,1986,235
achillea millefolium,1986,238
achillea millefolium,1987,199
achillea millefolium,1987,203
achillea millefolium,1987,206
achillea millefolium,1987,208
achillea millefolium,1987,210
achillea millefolium,1987,212
achillea millefolium,1987,214
achillea millefolium,1987,217
achillea millefolium,1987,219
achillea millefolium,1987,206
achillea millefolium,1987,208
achillea millefolium,1987,210
achillea millefolium,1987,212
achillea millefolium,1987,214
achillea millefolium,1987,217
achillea millefolium,1987,219
achillea millefolium,1987,221
achillea millefolium,1987,223
achillea millefolium,1987,197
achillea millefolium,1987,199
achillea millefolium,1987,203
achillea millefolium,1987,206
achillea millefolium,1987,208
achillea millefolium,1987,210
achillea millefolium,1987,212
achillea millefolium,1987,214
achillea millefolium,1987,217
achillea millefolium,1987,219
achillea millefolium,1987,221
achillea millefolium,1987,203
achillea millefolium,1987,206
achillea millefolium,1987,208
achillea millefolium,1987,210
achillea millefolium,1987,212
achillea millefolium,1987,214
achillea millefolium,1987,217
achillea millefolium,1987,219
achillea millefolium,1987,221
achillea millefolium,1987,223
achillea millefolium,1987,225
achillea millefolium,1988,203
achillea millefolium,1988,205
achillea millefolium,1988,207
achillea millefolium,1988,209
achillea millefolium,1988,211
achillea millefolium,1988,213
achillea millefolium,1988,215
achillea millefolium,1988,218
achillea millefolium,1988,221
achillea millefolium,1988,223
achillea millefolium,1988,225
achillea millefolium,1988,227
achillea millefolium,1988,230
achillea millefolium,1988,232
achillea millefolium,1988,237
achillea millefolium,1988,209
achillea millefolium,1988,211
achillea millefolium,1988,213
achillea millefolium,1988,215
achillea millefolium,1988,218
achillea millefolium,1988,221
achillea millefolium,1988,223
achillea millefolium,1988,225
achillea millefolium,1988,227
achillea millefolium,1988,230
achillea millefolium,1988,232
achillea millefolium,1988,237
achillea millefolium,1988,239
achillea millefolium,1988,241
achillea millefolium,1988,246
achillea millefolium,1988,248
achillea millefolium,1988,252
achillea millefolium,1988,201
achillea millefolium,1988,203
achillea millefolium,1988,205
achillea millefolium,1988,207
achillea millefolium,1988,209
achillea millefolium,1988,211
achillea millefolium,1988,213
achillea millefolium,1988,215
achillea millefolium,1988,218
achillea millefolium,1988,221
achillea millefolium,1988,223
achillea millefolium,1988,225
achillea millefolium,1988,227
achillea millefolium,1988,230
achillea millefolium,1988,232
achillea millefolium,1988,234
achillea millefolium,1988,237
achillea millefolium,1988,239
achillea millefolium,1988,241
achillea millefolium,1988,244
achillea millefolium,1988,246
achillea millefolium,1988,248
achillea millefolium,1988,203
achillea millefolium,1988,205
achillea millefolium,1988,207
achillea millefolium,1988,209
achillea millefolium,1988,211
achillea millefolium,1988,213
achillea millefolium,1988,215
achillea millefolium,1988,218
achillea millefolium,1988,221
achillea millefolium,1988,223
achillea millefolium,1988,230
achillea millefolium,1988,232
achillea millefolium,1988,237
achillea millefolium,1988,203
achillea millefolium,1988,205
achillea millefolium,1988,207
achillea millefolium,1988,209
achillea millefolium,1988,211
achillea millefolium,1988,213
achillea millefolium,1988,215
achillea millefolium,1988,218
achillea millefolium,1988,221
achillea millefolium,1988,223
achillea millefolium,1988,225
achillea millefolium,1988,227
achillea millefolium,1988,230
achillea millefolium,1988,232
achillea millefolium,1988,234
achillea millefolium,1988,237
achillea millefolium,1988,239
achillea millefolium,1988,241
achillea millefolium,1988,244
achillea millefolium,1988,246
achillea millefolium,1988,248
achillea millefolium,1988,250
achillea millefolium,1989,192
